study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit
Kubitza2005	NA	OD5	7.0	OD5	factor Xa inhibition	NA	plasma	coagulation assay	factor Xa inhibition_OD5	7.0	days	NA	-6.26760563380282	NA	NA	NA	percent
Kubitza2005	NA	OD5	7.0	OD5	factor Xa inhibition	NA	plasma	coagulation assay	factor Xa inhibition_OD5	7.01	days	NA	-4.15492957746479	NA	NA	NA	percent
Kubitza2005	NA	OD5	7.0	OD5	factor Xa inhibition	NA	plasma	coagulation assay	factor Xa inhibition_OD5	7.01	days	NA	0.492957746478865	NA	NA	NA	percent
Kubitza2005	NA	OD5	7.0	OD5	factor Xa inhibition	NA	plasma	coagulation assay	factor Xa inhibition_OD5	7.03	days	NA	5.77464788732394	NA	NA	NA	percent
Kubitza2005	NA	OD5	7.0	OD5	factor Xa inhibition	NA	plasma	coagulation assay	factor Xa inhibition_OD5	7.04	days	NA	5.56338028169013	NA	NA	NA	percent
Kubitza2005	NA	OD5	7.0	OD5	factor Xa inhibition	NA	plasma	coagulation assay	factor Xa inhibition_OD5	7.05	days	NA	9.36619718309859	NA	NA	NA	percent
Kubitza2005	NA	OD5	7.0	OD5	factor Xa inhibition	NA	plasma	coagulation assay	factor Xa inhibition_OD5	7.06	days	NA	11.9014084507042	NA	NA	NA	percent
Kubitza2005	NA	OD5	7.0	OD5	factor Xa inhibition	NA	plasma	coagulation assay	factor Xa inhibition_OD5	7.07	days	NA	16.5492957746479	NA	NA	NA	percent
Kubitza2005	NA	OD5	7.0	OD5	factor Xa inhibition	NA	plasma	coagulation assay	factor Xa inhibition_OD5	7.1	days	NA	14.8591549295775	NA	NA	NA	percent
Kubitza2005	NA	OD5	7.0	OD5	factor Xa inhibition	NA	plasma	coagulation assay	factor Xa inhibition_OD5	7.12	days	NA	20.1408450704225	NA	NA	NA	percent
Kubitza2005	NA	OD5	7.0	OD5	factor Xa inhibition	NA	plasma	coagulation assay	factor Xa inhibition_OD5	7.17	days	NA	14.225352112676	NA	NA	NA	percent
Kubitza2005	NA	OD5	7.0	OD5	factor Xa inhibition	NA	plasma	coagulation assay	factor Xa inhibition_OD5	7.25	days	NA	7.67605633802816	NA	NA	NA	percent
Kubitza2005	NA	OD5	7.0	OD5	factor Xa inhibition	NA	plasma	coagulation assay	factor Xa inhibition_OD5	7.33	days	NA	4.92957746478872	NA	NA	NA	percent
Kubitza2005	NA	OD5	7.0	OD5	factor Xa inhibition	NA	plasma	coagulation assay	factor Xa inhibition_OD5	7.5	days	NA	-8.80281690140846	NA	NA	NA	percent
Kubitza2005	NA	OD5	7.0	OD5	factor Xa inhibition	NA	plasma	coagulation assay	factor Xa inhibition_OD5	7.61	days	NA	-8.16901408450705	NA	NA	NA	percent
Kubitza2005	NA	OD5	7.0	OD5	factor Xa inhibition	NA	plasma	coagulation assay	factor Xa inhibition_OD5	8.0	days	NA	-5.21126760563381	NA	NA	NA	percent
Kubitza2005	NA	TID5	7.0	TID5	factor Xa inhibition	NA	plasma	coagulation assay	factor Xa inhibition_TID5	0.0	days	NA	-2.46	NA	NA	NA	percent
Kubitza2005	NA	TID5	7.0	TID5	factor Xa inhibition	NA	plasma	coagulation assay	factor Xa inhibition_TID5	0.05	days	NA	0.07	NA	NA	NA	percent
Kubitza2005	NA	TID5	7.0	TID5	factor Xa inhibition	NA	plasma	coagulation assay	factor Xa inhibition_TID5	0.07	days	NA	14.86	NA	NA	NA	percent
Kubitza2005	NA	TID5	7.0	TID5	factor Xa inhibition	NA	plasma	coagulation assay	factor Xa inhibition_TID5	0.08	days	NA	21.41	NA	NA	NA	percent
Kubitza2005	NA	TID5	7.0	TID5	factor Xa inhibition	NA	plasma	coagulation assay	factor Xa inhibition_TID5	0.12	days	NA	21.83	NA	NA	NA	percent
Kubitza2005	NA	TID5	7.0	TID5	factor Xa inhibition	NA	plasma	coagulation assay	factor Xa inhibition_TID5	0.17	days	NA	18.66	NA	NA	NA	percent
Kubitza2005	NA	TID5	7.0	TID5	factor Xa inhibition	NA	plasma	coagulation assay	factor Xa inhibition_TID5	0.24	days	NA	12.11	NA	NA	NA	percent
Kubitza2005	NA	TID5	7.0	TID5	factor Xa inhibition	NA	plasma	coagulation assay	factor Xa inhibition_TID5	0.34	days	NA	5.14	NA	NA	NA	percent
Kubitza2005	NA	TID5	7.0	TID5	factor Xa inhibition	NA	plasma	coagulation assay	factor Xa inhibition_TID5	0.37	days	NA	14.01	NA	NA	NA	percent
Kubitza2005	NA	TID5	7.0	TID5	factor Xa inhibition	NA	plasma	coagulation assay	factor Xa inhibition_TID5	0.42	days	NA	20.56	NA	NA	NA	percent
Kubitza2005	NA	TID5	7.0	TID5	factor Xa inhibition	NA	plasma	coagulation assay	factor Xa inhibition_TID5	0.5	days	NA	18.45	NA	NA	NA	percent
Kubitza2005	NA	TID5	7.0	TID5	factor Xa inhibition	NA	plasma	coagulation assay	factor Xa inhibition_TID5	0.59	days	NA	8.94	NA	NA	NA	percent
Kubitza2005	NA	TID5	7.0	TID5	factor Xa inhibition	NA	plasma	coagulation assay	factor Xa inhibition_TID5	0.67	days	NA	11.69	NA	NA	NA	percent
Kubitza2005	NA	TID5	7.0	TID5	factor Xa inhibition	NA	plasma	coagulation assay	factor Xa inhibition_TID5	0.69	days	NA	17.61	NA	NA	NA	percent
Kubitza2005	NA	TID5	7.0	TID5	factor Xa inhibition	NA	plasma	coagulation assay	factor Xa inhibition_TID5	0.71	days	NA	25.63	NA	NA	NA	percent
Kubitza2005	NA	TID5	7.0	TID5	factor Xa inhibition	NA	plasma	coagulation assay	factor Xa inhibition_TID5	0.73	days	NA	28.17	NA	NA	NA	percent
Kubitza2005	NA	TID5	7.0	TID5	factor Xa inhibition	NA	plasma	coagulation assay	factor Xa inhibition_TID5	0.75	days	NA	22.25	NA	NA	NA	percent
Kubitza2005	NA	TID5	7.0	TID5	factor Xa inhibition	NA	plasma	coagulation assay	factor Xa inhibition_TID5	0.78	days	NA	22.68	NA	NA	NA	percent
Kubitza2005	NA	TID5	7.0	TID5	factor Xa inhibition	NA	plasma	coagulation assay	factor Xa inhibition_TID5	0.8	days	NA	26.9	NA	NA	NA	percent
Kubitza2005	NA	TID5	7.0	TID5	factor Xa inhibition	NA	plasma	coagulation assay	factor Xa inhibition_TID5	0.84	days	NA	22.68	NA	NA	NA	percent
Kubitza2005	NA	TID5	7.0	TID5	factor Xa inhibition	NA	plasma	coagulation assay	factor Xa inhibition_TID5	0.93	days	NA	18.03	NA	NA	NA	percent
Kubitza2005	NA	TID5	7.0	TID5	factor Xa inhibition	NA	plasma	coagulation assay	factor Xa inhibition_TID5	1.0	days	NA	4.72	NA	NA	NA	percent
Kubitza2005	NA	TID5	7.0	TID5	factor Xa inhibition	NA	plasma	coagulation assay	factor Xa inhibition_TID5	4.0	days	NA	NA	NA	NA	NA	percent
Kubitza2005	NA	TID5	7.0	TID5	factor Xa inhibition	NA	plasma	coagulation assay	factor Xa inhibition_TID5	7.0	days	NA	7.25	NA	NA	NA	percent
Kubitza2005	NA	TID5	7.0	TID5	factor Xa inhibition	NA	plasma	coagulation assay	factor Xa inhibition_TID5	7.02	days	NA	25.85	NA	NA	NA	percent
Kubitza2005	NA	TID5	7.0	TID5	factor Xa inhibition	NA	plasma	coagulation assay	factor Xa inhibition_TID5	7.04	days	NA	24.79	NA	NA	NA	percent
Kubitza2005	NA	TID5	7.0	TID5	factor Xa inhibition	NA	plasma	coagulation assay	factor Xa inhibition_TID5	7.06	days	NA	25.42	NA	NA	NA	percent
Kubitza2005	NA	TID5	7.0	TID5	factor Xa inhibition	NA	plasma	coagulation assay	factor Xa inhibition_TID5	7.08	days	NA	26.48	NA	NA	NA	percent
Kubitza2005	NA	TID5	7.0	TID5	factor Xa inhibition	NA	plasma	coagulation assay	factor Xa inhibition_TID5	7.0	days	NA	29.01	NA	NA	NA	percent
Kubitza2005	NA	TID5	7.0	TID5	factor Xa inhibition	NA	plasma	coagulation assay	factor Xa inhibition_TID5	7.12837837837838	days	NA	24.58	NA	NA	NA	percent
Kubitza2005	NA	TID5	7.0	TID5	factor Xa inhibition	NA	plasma	coagulation assay	factor Xa inhibition_TID5	7.16216216216216	days	NA	23.52	NA	NA	NA	percent
Kubitza2005	NA	TID5	7.0	TID5	factor Xa inhibition	NA	plasma	coagulation assay	factor Xa inhibition_TID5	7.25675675675676	days	NA	13.8	NA	NA	NA	percent
Kubitza2005	NA	TID5	7.0	TID5	factor Xa inhibition	NA	plasma	coagulation assay	factor Xa inhibition_TID5	7.33783783783784	days	NA	4.72	NA	NA	NA	percent
Kubitza2005	NA	TID5	7.0	TID5	factor Xa inhibition	NA	plasma	coagulation assay	factor Xa inhibition_TID5	7.5	days	NA	-9.23	NA	NA	NA	percent
Kubitza2005	NA	TID5	7.0	TID5	factor Xa inhibition	NA	plasma	coagulation assay	factor Xa inhibition_TID5	7.62162162162162	days	NA	-7.75	NA	NA	NA	percent
Kubitza2005	NA	TID5	7.0	TID5	factor Xa inhibition	NA	plasma	coagulation assay	factor Xa inhibition_TID5	8.0	days	NA	-10.92	NA	NA	NA	percent
Kubitza2005	NA	TID5	7.0	TID5	factor Xa inhibition	NA	plasma	coagulation assay	factor Xa inhibition_TID5	9.0	days	NA	-14.51	NA	NA	NA	percent
