study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	cv	unit	comments
Kreutz2017	NA	all	24.0	api	TGLT (ratio)	NA	plasma	coagulation assay	api_TGLT ratio	157.0	hr	NA	1.5980846047665	1.31517291083884	0.27319627507746	0.0557659561307341	NA	dimensionless	geometric mean
Kreutz2017	NA	all	24.0	api	TGLT (ratio)	NA	plasma	coagulation assay	api_TGLT ratio	158.0	hr	NA	1.77358106429848	1.50038478922102	0.22437487020998	0.0458003285931377	NA	dimensionless	NA
Kreutz2017	NA	all	24.0	api	TGLT (ratio)	NA	plasma	coagulation assay	api_TGLT ratio	159.0	hr	NA	1.76367834064229	1.53930347043231	0.16582175911787	0.0338482248407905	NA	dimensionless	NA
Kreutz2017	NA	all	24.0	api	TGLT (ratio)	NA	plasma	coagulation assay	api_TGLT ratio	160.0	hr	NA	1.78306845990659	1.61724670078872	0.22439930127164	0.0458053155627162	NA	dimensionless	NA
Kreutz2017	NA	all	24.0	api	TGLT (ratio)	NA	plasma	coagulation assay	api_TGLT ratio	162.0	hr	NA	1.83158040465982	1.60718110338818	1.77	0.361299737060519	NA	dimensionless	NA
Kreutz2017	NA	all	24.0	api	TGLT (ratio)	NA	plasma	coagulation assay	api_TGLT ratio	168.0	hr	NA	1.77	NA	0.22833	0.0466076660808069	12.9	dimensionless	NA
Kreutz2017	NA	all	24.0	api	TGLT (ratio)	NA	plasma	coagulation assay	api_TGLT ratio	174.0	hr	NA	1.36165707747497	1.18604660632194	1.26	0.257196422992234	NA	dimensionless	NA
Kreutz2017	NA	all	24.0	api	TGLT (ratio)	NA	plasma	coagulation assay	api_TGLT ratio	180.0	hr	NA	1.26	NA	0.14112	0.0288059993751302	11.2	dimensionless	NA
Kreutz2017	NA	all	24.0	api	TGLT (ratio)	NA	plasma	coagulation assay	api_TGLT ratio	192.0	hr	NA	1.16	NA	0.106256	0.0216894151757641	9.16	dimensionless	NA
Kreutz2017	NA	all	24.0	api	TGLT (ratio)	NA	plasma	coagulation assay	api_TGLT ratio	204.0	hr	NA	1.09417767082402	0.986892735423818	0.099190110306245	0.0202470964817233	NA	dimensionless	NA
Kreutz2017	NA	all	24.0	api	TGLT (ratio)	NA	plasma	coagulation assay	api_TGLT ratio	216.0	hr	NA	1.0828009397815	0.994987560517775	0.0878133792637249	0.0179248309821353	NA	dimensionless	NA
